symbol,exchange,token,lot_size,instrument_type
JINDALSTEL28OCT25860PE,NFO,100075,625,OPTSTK
JINDALSTEL28OCT25880CE,NFO,100076,625,OPTSTK
JINDALSTEL28OCT251040CE,NFO,100095,625,OPTSTK
JINDALSTEL28OCT251080PE,NFO,100100,625,OPTSTK
JINDALSTEL28OCT251100PE,NFO,100102,625,OPTSTK
JINDALSTEL28OCT251180PE,NFO,100111,625,OPTSTK
LTF25NOV25195PE,NFO,100133,4462,OPTSTK
JIOFIN30SEP25305CE,NFO,100152,2350,OPTSTK
LTF25NOV25225CE,NFO,100180,4462,OPTSTK
LTF25NOV25260CE,NFO,100204,4462,OPTSTK
JIOFIN28OCT25270CE,NFO,100234,2350,OPTSTK
JIOFIN28OCT25330PE,NFO,100249,2350,OPTSTK
JIOFIN28OCT25340CE,NFO,100250,2350,OPTSTK
LTIM25NOV255800PE,NFO,100346,150,OPTSTK
JSWENERGY30SEP25570CE,NFO,100353,1000,OPTSTK
JSWENERGY28OCT25480CE,NFO,100434,1000,OPTSTK
JSWENERGY28OCT25540PE,NFO,100449,1000,OPTSTK
JSWSTEEL30SEP25990PE,NFO,100515,675,OPTSTK
JSWSTEEL30SEP251090CE,NFO,100533,675,OPTSTK
JSWSTEEL30SEP251150CE,NFO,100539,675,OPTSTK
LUPIN25NOV251760PE,NFO,100636,425,OPTSTK
LUPIN25NOV252080PE,NFO,100690,425,OPTSTK
JSWSTEEL28OCT25920PE,NFO,100803,675,OPTSTK
M&M28OCT253050CE,NFO,100808,200,OPTSTK
M&M28OCT253250CE,NFO,100813,200,OPTSTK
M&M28OCT253450CE,NFO,100819,200,OPTSTK
M&M28OCT253850CE,NFO,100831,200,OPTSTK
M&M25NOV253900CE,NFO,100879,200,OPTSTK
MANAPPURAM28OCT25235PE,NFO,100958,3000,OPTSTK
MANAPPURAM28OCT25295PE,NFO,100970,3000,OPTSTK
JSWSTEEL28OCT251060PE,NFO,101018,675,OPTSTK
JSWSTEEL28OCT251160PE,NFO,101031,675,OPTSTK
JSWSTEEL28OCT251180CE,NFO,101032,675,OPTSTK
MANAPPURAM25NOV25270CE,NFO,101056,3000,OPTSTK
MANKIND28OCT252350PE,NFO,101147,225,OPTSTK
MANKIND28OCT252450PE,NFO,101149,225,OPTSTK
MANKIND25NOV252700CE,NFO,101206,225,OPTSTK
MANKIND25NOV252700PE,NFO,101211,225,OPTSTK
IRCTC30SEP25700PE,NFO,101230,875,OPTSTK
IRCTC30SEP25800PE,NFO,101241,875,OPTSTK
IRCTC30SEP25820CE,NFO,101242,875,OPTSTK
JUBLFOOD30SEP25570CE,NFO,101287,1250,OPTSTK
JUBLFOOD30SEP25590PE,NFO,101291,1250,OPTSTK
JUBLFOOD30SEP25710PE,NFO,101303,1250,OPTSTK
IREDA30SEP25120PE,NFO,101377,3450,OPTSTK
IREDA30SEP25130CE,NFO,101378,3450,OPTSTK
MARICO28OCT25710CE,NFO,101400,1200,OPTSTK
MARICO28OCT25730CE,NFO,101402,1200,OPTSTK
MARICO25NOV25680PE,NFO,101506,1200,OPTSTK
MARICO25NOV25700CE,NFO,101509,1200,OPTSTK
JUBLFOOD28OCT25640PE,NFO,101596,1250,OPTSTK
JUBLFOOD28OCT25700PE,NFO,101602,1250,OPTSTK
IRFC30SEP25125CE,NFO,101619,4250,OPTSTK
IRFC30SEP25130PE,NFO,101622,4250,OPTSTK
IRFC30SEP25135CE,NFO,101623,4250,OPTSTK
IRFC30SEP25145CE,NFO,101627,4250,OPTSTK
KALYANKJIL30SEP25450CE,NFO,101668,1175,OPTSTK
KALYANKJIL30SEP25550CE,NFO,101696,1175,OPTSTK
MARUTI28OCT2513500PE,NFO,101764,50,OPTSTK
MARUTI28OCT2513900CE,NFO,101773,50,OPTSTK
KALYANKJIL28OCT25460CE,NFO,101801,1175,OPTSTK
KALYANKJIL28OCT25540PE,NFO,101814,1175,OPTSTK
KALYANKJIL28OCT25600PE,NFO,101824,1175,OPTSTK
KAYNES30SEP255900PE,NFO,101887,100,OPTSTK
MARUTI28OCT2515300PE,NFO,101912,50,OPTSTK
ITC30SEP25350PE,NFO,101921,1600,OPTSTK
KAYNES28OCT255600CE,NFO,102055,100,OPTSTK
MARUTI28OCT2516100PE,NFO,101922,50,OPTSTK
MARUTI25NOV2513200CE,NFO,102032,50,OPTSTK
KAYNES28OCT255400CE,NFO,102053,100,OPTSTK
KAYNES28OCT255800CE,NFO,102057,100,OPTSTK
MARUTI25NOV2514800CE,NFO,102102,50,OPTSTK
MARUTI25NOV2515800CE,NFO,102112,50,OPTSTK
MARUTI25NOV2516400PE,NFO,102125,50,OPTSTK
KAYNES28OCT257000PE,NFO,102145,100,OPTSTK
KEI30SEP253750PE,NFO,102202,175,OPTSTK
MAXHEALTH25NOV251080PE,NFO,102321,525,OPTSTK
