symbol,exchange,token,lot_size,isin
NIFTY 50,NSE,99926000,1,
NIFTY GROWSECT 15,NSE,99926001,1,
NIFTY50 PR 2X LEV,NSE,99926002,1,
NIFTY 500,NSE,99926004,1,
NIFTY IT,NSE,99926008,1,
NIFTY BANK,NSE,99926009,1,
NIFTY MIDCAP 100,NSE,99926011,1,
NIFTY 100,NSE,99926012,1,
NIFTY NEXT 50,NSE,99926013,1,
NIFTY MIDCAP 50,NSE,99926014,1,
HANGSENG BEES-NAV,NSE,99926016,1,
INDIA VIX,NSE,99926017,1,
NIFTY REALTY,NSE,99926018,1,
NIFTY INFRA,NSE,99926019,1,
NIFTY ENERGY,NSE,99926020,1,
NIFTY FMCG,NSE,99926021,1,
NIFTY MNC,NSE,99926022,1,
NIFTY PHARMA,NSE,99926023,1,
NIFTY PSE,NSE,99926024,1,
NIFTY PSU BANK,NSE,99926025,1,
NIFTY SERV SECTOR,NSE,99926026,1,
NIFTY AUTO,NSE,99926029,1,
NIFTY METAL,NSE,99926030,1,
NIFTY MEDIA,NSE,99926031,1,
NIFTY SMLCAP 100,NSE,99926032,1,
NIFTY 200,NSE,99926033,1,
NIFTY DIV OPPS 50,NSE,99926034,1,
NIFTY COMMODITIES,NSE,99926035,1,
NIFTY CONSUMPTION,NSE,99926036,1,
NIFTY FIN SERVICE,NSE,99926037,1,
NIFTY50 DIV POINT,NSE,99926038,1,
NIFTY100 LIQ 15,NSE,99926040,1,
NIFTY CPSE,NSE,99926041,1,
NIFTY50 PR 1X INV,NSE,99926042,1,
NIFTY50 TR 2X LEV,NSE,99926043,1,
NIFTY50 TR 1X INV,NSE,99926044,1,
NIFTY50 VALUE 20,NSE,99926045,1,
NIFTY MID LIQ 15,NSE,99926046,1,
NIFTY PVT BANK,NSE,99926047,1,
NIFTY100 QUALTY30,NSE,99926048,1,
NIFTY GS 8 13YR,NSE,99926049,1,
NIFTY GS 10YR,NSE,99926050,1,
NIFTY GS 10YR CLN,NSE,99926051,1,
NIFTY GS 4 8YR,NSE,99926052,1,
NIFTY GS 11 15YR,NSE,99926053,1,
NIFTY GS 15YRPLUS,NSE,99926054,1,
NIFTY GS COMPSITE,NSE,99926055,1,
NIFTY50 EQL WGT,NSE,99926056,1,
NIFTY100 EQL WGT,NSE,99926057,1,
NIFTY100 LOWVOL30,NSE,99926058,1,
NIFTY ALPHA 50,NSE,99926059,1,
NIFTY MIDCAP 150,NSE,99926060,1,
NIFTY SMLCAP 50,NSE,99926061,1,
NIFTY SMLCAP 250,NSE,99926062,1,
NIFTY MIDSML 400,NSE,99926063,1,
NIFTY200 QUALTY30,NSE,99926064,1,
NIFTY MID SELECT,NSE,99926074,1,
SENSEX,BSE,99919000,1,
BSEPSU,BSE,99919001,1,
BSE100,BSE,99919002,1,
BSE200,BSE,99919003,1,
BSE500,BSE,99919004,1,
BSE IT,BSE,99919005,1,
BSEFMC,BSE,99919006,1,
BSE CG,BSE,99919007,1,
BSE CD,BSE,99919008,1,
BSE HC,BSE,99919009,1,
TECK,BSE,99919011,1,
BANKEX,BSE,99919012,1,
AUTO,BSE,99919013,1,
METAL,BSE,99919014,1,
CPSE,BSE,99919015,1,
MIDCAP,BSE,99919016,1,
SMLCAP,BSE,99919017,1,
DOL30,BSE,99919018,1,
DOL100,BSE,99919019,1,
DOL200,BSE,99919020,1,
LRGCAP,BSE,99919042,1,
MIDSEL,BSE,99919043,1,
SMLSEL,BSE,99919044,1,
OILGAS,BSE,99919051,1,
POWER,BSE,99919052,1,
REALTY,BSE,99919053,1,
BSEIPO,BSE,99919054,1,
CARBON,BSE,99919058,1,
SMEIPO,BSE,99919059,1,
INFRA,BSE,99919060,1,
GREENX,BSE,99919081,1,
SNSX50,BSE,99919082,1,
SNXT50,BSE,99919083,1,
ENERGY,BSE,99919084,1,
FINSER,BSE,99919085,1,
INDSTR,BSE,99919086,1,
TELCOM,BSE,99919087,1,
MID150,BSE,99919088,1,
LMI250,BSE,99919089,1,
MSL400,BSE,99919090,1,
