token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
99926000,Nifty 50,NIFTY,,0.000000,1,AMXIDX,NSE,0.000000
99926001,Nifty GrowSect 15,NIFTY GROWSECT 15,,0.000000,1,AMXIDX,NSE,0.000000
99926002,Nifty50 PR 2x Lev,NIFTY50 PR 2X LEV,,0.000000,1,AMXIDX,NSE,0.000000
99926004,Nifty 500,NIFTY 500,,0.000000,1,AMXIDX,NSE,0.000000
99926008,Nifty IT,NIFTY IT,,0.000000,1,AMXIDX,NSE,0.000000
99926009,Nifty Bank,BANKNIFTY,,0.000000,1,AMXIDX,NSE,0.000000
99926011,NIFTY MIDCAP 100,NIFTY MIDCAP 100,,0.000000,1,AMXIDX,NSE,0.000000
99926012,Nifty 100,NIFTY 100,,0.000000,1,AMXIDX,NSE,0.000000
99926013,Nifty Next 50,NIFTYNXT50,,0.000000,1,AMXIDX,NSE,0.000000
99926014,Nifty Midcap 50,NIFTY MIDCAP 50,,0.000000,1,AMXIDX,NSE,0.000000
99926016,HangSeng BeES-NAV,HANGSENG BEES-NAV,,0.000000,1,AMXIDX,NSE,0.000000
99926017,India VIX,INDIA VIX,,0.000000,1,AMXIDX,NSE,0.000000
99926018,Nifty Realty,NIFTY REALTY,,0.000000,1,AMXIDX,NSE,0.000000
99926019,Nifty Infra,NIFTY INFRA,,0.000000,1,AMXIDX,NSE,0.000000
99926020,Nifty Energy,NIFTY ENERGY,,0.000000,1,AMXIDX,NSE,0.000000
99926021,Nifty FMCG,NIFTY FMCG,,0.000000,1,AMXIDX,NSE,0.000000
99926022,Nifty MNC,NIFTY MNC,,0.000000,1,AMXIDX,NSE,0.000000
99926023,Nifty Pharma,NIFTY PHARMA,,0.000000,1,AMXIDX,NSE,0.000000
99926024,Nifty PSE,NIFTY PSE,,0.000000,1,AMXIDX,NSE,0.000000
99926025,Nifty PSU Bank,NIFTY PSU BANK,,0.000000,1,AMXIDX,NSE,0.000000
99926026,Nifty Serv Sector,NIFTY SERV SECTOR,,0.000000,1,AMXIDX,NSE,0.000000
99926029,Nifty Auto,NIFTY AUTO,,0.000000,1,AMXIDX,NSE,0.000000
99926030,Nifty Metal,NIFTY METAL,,0.000000,1,AMXIDX,NSE,0.000000
99926031,Nifty Media,NIFTY MEDIA,,0.000000,1,AMXIDX,NSE,0.000000
99926032,NIFTY SMLCAP 100,NIFTY SMLCAP 100,,0.000000,1,AMXIDX,NSE,0.000000
99926033,Nifty 200,NIFTY 200,,0.000000,1,AMXIDX,NSE,0.000000
99926034,Nifty Div Opps 50,NIFTY DIV OPPS 50,,0.000000,1,AMXIDX,NSE,0.000000
99926035,Nifty Commodities,NIFTY COMMODITIES,,0.000000,1,AMXIDX,NSE,0.000000
99926036,Nifty Consumption,NIFTY CONSUMPTION,,0.000000,1,AMXIDX,NSE,0.000000
99926037,Nifty Fin Service,FINNIFTY,,0.000000,1,AMXIDX,NSE,0.000000
99926038,Nifty50 Div Point,NIFTY50 DIV POINT,,0.000000,1,AMXIDX,NSE,0.000000
99926040,Nifty100 Liq 15,NIFTY100 LIQ 15,,0.000000,1,AMXIDX,NSE,0.000000
